date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:04	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
19:45:04	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
19:45:04	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
19:45:05	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
19:45:05	990/990	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
19:45:11	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
19:45:12	593162/593162	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2000:45:07%20GMT	https://www.classcentral.com/collections	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
19:45:12	600300/600300	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2000:45:06%20GMT	https://www.classcentral.com/rankings	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
19:45:13	574333/574333	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2000:45:08%20GMT	https://www.classcentral.com/subjects	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
19:45:14	906147/906147	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2000:45:13%20GMT	https://www.classcentral.com/subject/cs	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
